rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad,incidencia
0,22.47,92.958,21.352,0,0,145,PL001,1,0,0
0,22.47,92.958,21.352,0,0,145,PL001,2,0,0
0,22.47,92.958,21.352,0,0,145,PL001,3,10,1
0,22.47,92.958,21.352,0,0,145,PL001,4,0,0
0,22.47,92.958,21.352,0,0,145,PL001,5,0,0
0,22.47,92.958,21.352,0,0,145,PL001,6,0,0
0,22.47,92.958,21.352,0,0,145,PL001,7,0,0
0,22.47,92.958,21.352,0,0,145,PL001,8,0,0
0,22.47,92.958,21.352,0,0,145,PL001,9,90,1
0,22.47,92.958,21.352,0,0,145,PL001,10,0,0
0,22.47,92.958,21.352,0,0,145,PL002,1,0,0
0,22.47,92.958,21.352,0,0,145,PL002,2,0,0
0,22.47,92.958,21.352,0,0,145,PL002,3,0,0
0,22.47,92.958,21.352,0,0,145,PL002,4,100,1
0,22.47,92.958,21.352,0,0,145,PL002,5,0,0
0,22.47,92.958,21.352,0,0,145,PL002,6,80,1
0,22.47,92.958,21.352,0,0,145,PL002,7,100,1
0,22.47,92.958,21.352,0,0,145,PL002,8,0,0
0,22.47,92.958,21.352,0,0,145,PL002,9,0,0
0,22.47,92.958,21.352,0,0,145,PL002,10,0,0
0,22.47,92.958,21.352,0,0,145,PL003,1,0,0
0,22.47,92.958,21.352,0,0,145,PL003,2,0,0
0,22.47,92.958,21.352,0,0,145,PL003,3,0,0
0,22.47,92.958,21.352,0,0,145,PL003,4,0,0
0,22.47,92.958,21.352,0,0,145,PL003,5,0,0
0,22.47,92.958,21.352,0,0,145,PL003,6,0,0
0,22.47,92.958,21.352,0,0,145,PL003,7,50,1
0,22.47,92.958,21.352,0,0,145,PL003,8,0,0
0,22.47,92.958,21.352,0,0,145,PL003,9,0,0
0,22.47,92.958,21.352,0,0,145,PL003,10,100,1
0,22.47,92.958,21.352,0,0,145,PL004,1,0,0
0,22.47,92.958,21.352,0,0,145,PL004,2,0,0
0,22.47,92.958,21.352,0,0,145,PL004,3,0,0
0,22.47,92.958,21.352,0,0,145,PL004,4,0,0
0,22.47,92.958,21.352,0,0,145,PL004,5,80,1
0,22.47,92.958,21.352,0,0,145,PL004,6,0,0
0,22.47,92.958,21.352,0,0,145,PL004,7,0,0
0,22.47,92.958,21.352,0,0,145,PL004,8,0,0
0,22.47,92.958,21.352,0,0,145,PL004,9,0,0
0,22.47,92.958,21.352,0,0,145,PL004,10,100,1
0,22.47,92.958,21.352,0,0,145,PL005,1,0,0
0,22.47,92.958,21.352,0,0,145,PL005,2,0,0
0,22.47,92.958,21.352,0,0,145,PL005,3,0,0
0,22.47,92.958,21.352,0,0,145,PL005,4,0,0
0,22.47,92.958,21.352,0,0,145,PL005,5,80,1
0,22.47,92.958,21.352,0,0,145,PL005,6,0,0
0,22.47,92.958,21.352,0,0,145,PL005,7,0,0
0,22.47,92.958,21.352,0,0,145,PL005,8,0,0
0,22.47,92.958,21.352,0,0,145,PL005,9,0,0
0,22.47,92.958,21.352,0,0,145,PL005,10,0,0
0,22.47,92.958,21.352,0,0,145,PL006,1,0,0
0,22.47,92.958,21.352,0,0,145,PL006,2,0,0
0,22.47,92.958,21.352,0,0,145,PL006,3,0,0
0,22.47,92.958,21.352,0,0,145,PL006,4,0,0
0,22.47,92.958,21.352,0,0,145,PL006,5,0,0
0,22.47,92.958,21.352,0,0,145,PL006,6,0,0
0,22.47,92.958,21.352,0,0,145,PL006,7,0,0
0,22.47,92.958,21.352,0,0,145,PL006,8,0,0
0,22.47,92.958,21.352,0,0,145,PL006,9,0,0
0,22.47,92.958,21.352,0,0,145,PL006,10,0,0
0,22.47,92.958,21.352,0,0,145,PL007,1,0,0
0,22.47,92.958,21.352,0,0,145,PL007,2,0,0
0,22.47,92.958,21.352,0,0,145,PL007,3,0,0
0,22.47,92.958,21.352,0,0,145,PL007,4,0,0
0,22.47,92.958,21.352,0,0,145,PL007,5,0,0
0,22.47,92.958,21.352,0,0,145,PL007,6,0,0
0,22.47,92.958,21.352,0,0,145,PL007,7,0,0
0,22.47,92.958,21.352,0,0,145,PL007,8,0,0
0,22.47,92.958,21.352,0,0,145,PL007,9,0,0
0,22.47,92.958,21.352,0,0,145,PL007,10,0,0
0,22.47,92.958,21.352,0,0,145,PL008,1,0,0
0,22.47,92.958,21.352,0,0,145,PL008,2,0,0
0,22.47,92.958,21.352,0,0,145,PL008,3,0,0
0,22.47,92.958,21.352,0,0,145,PL008,4,0,0
0,22.47,92.958,21.352,0,0,145,PL008,5,0,0
0,22.47,92.958,21.352,0,0,145,PL008,6,0,0
0,22.47,92.958,21.352,0,0,145,PL008,7,0,0
0,22.47,92.958,21.352,0,0,145,PL008,8,0,0
0,22.47,92.958,21.352,0,0,145,PL008,9,0,0
0,22.47,92.958,21.352,0,0,145,PL008,10,0,0
0,22.47,92.958,21.352,0,0,145,PL009,1,0,0
0,22.47,92.958,21.352,0,0,145,PL009,2,0,0
0,22.47,92.958,21.352,0,0,145,PL009,3,0,0
0,22.47,92.958,21.352,0,0,145,PL009,4,100,1
0,22.47,92.958,21.352,0,0,145,PL009,5,0,0
0,22.47,92.958,21.352,0,0,145,PL009,6,75,1
0,22.47,92.958,21.352,0,0,145,PL009,7,30,1
0,22.47,92.958,21.352,0,0,145,PL009,8,100,1
0,22.47,92.958,21.352,0,0,145,PL009,9,0,0
0,22.47,92.958,21.352,0,0,145,PL009,10,0,0
0,22.47,92.958,21.352,0,0,145,PL010,1,0,0
0,22.47,92.958,21.352,0,0,145,PL010,2,0,0
0,22.47,92.958,21.352,0,0,145,PL010,3,0,0
0,22.47,92.958,21.352,0,0,145,PL010,4,0,0
0,22.47,92.958,21.352,0,0,145,PL010,5,0,0
0,22.47,92.958,21.352,0,0,145,PL010,6,0,0
0,22.47,92.958,21.352,0,0,145,PL010,7,0,0
0,22.47,92.958,21.352,0,0,145,PL010,8,0,0
0,22.47,92.958,21.352,0,0,145,PL010,9,0,0
0,22.47,92.958,21.352,0,0,145,PL010,10,0,0
