rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad,target
0,29.826,65.107,22.777,0.5,1.5,156,1,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,6,0,0
